TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,Hash
,83,tayo-tailor,tayo tailor,A professional fashion designer.,Male,hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated,70828783-ac38-48cf-b966-cfebc92ebd86,ded0a3a050f95b1358afd6490333d26eda4714726e60891b9dacaaea46ac9ff5
,84,ajasco-comedian,ajasco comedian,A newbie comedian.,Male,hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,e1aad69de10fd4769809468c2ff6cb4c00240e92ae08ad5553da29bae85da870
,85,tobi-babyboy,tobi babyboy,A guy who does not like stress.,Male,hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries,3da592d4-5dec-4bc5-8412-f1b2a0269f95,970bb1522a33cd395c5a10e656ff219fb9c308c04969161dc681d39841158b4f
,86,esther-sassy,esther sassy,A rude lady.,Female,hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace & earrings; expression: bold; strength: confident; weakness: judgemental,0642a25a-966d-446f-b021-a6d18e7fa0c5,51bfb52ae95c1ebe304d01993114ed5a18926b7df5f6852d9d4c6fb1b71f62f4
,87,ozo-fineboi,ozo fineboi,A charming person.,Female,hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker & hookah; expression: blank; strength: charismatic; weakness: proud,f2286b4d-fae6-48cb-a686-badec16da1d8,c332af07e0c869fffdc9c5534c9bed2c0af13626f6e0cc827da3c1e2a6b78afc
,88,ade-party-girl,ade party girl,The life of every party.,Female,hair: brown; eyes: blue; teeth: gap-tooth; clothing: one-sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive,7e3db30c-9faf-430d-ab48-b854fe0456b9,8ffaeb6d9d3d6fffc2c34807d8f90b639344a0618da826f1e58ccf0d060fa872
,89,john-casco,john casco,A very observant person.,Female,hair: black; eyes: blue; teeth: none  clothing: one-sleeved ankara top; accessories: earrings & necklace  expression: shocked; strength: unpredictable; weakness: loner,2eff88ef-5bc2-4779-917a-533e952e2953,a6b66f4e6672579af775b01ce92ccc6b63876757dc62c45df4592f25979afc9e
,90,agha-uwa,agha uwa,A woman of high social class.,Female,hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap & full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner,8478a002-1eba-4a05-8b98-7170c6e39254,e5079520d0f0b6edb27a72a09cedea841a3ecc8862001f4373b25a85f53f7905
,91,udeme-great,udeme great,A lady given to adventures.,Female,hair: purple; eyes: black; teeth: none  clothing: ankara top with blue sleeves; accessories: green necklace & green earrings  expression: clueless; strength: decisive; weakness: stubborn,d1476409-6f8b-4be9-8c93-24d9123749c5,f7b4e6d7fbbcac405883fc7b1f7e18cb85c831a6e8018e54be1864c7675e3217
,92,femi-tech-bro,femi tech bro,A rookie in the tech industry.,Female,hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,fb9648be37f14c4a0ede5ae8d6a234e484b4db8d0088038b23a3086837322c33
,93,sai-baba,sai baba,A leader of a third-world country.,Female,hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings & necklace; expression: anxious; strength: trend spotter; weakness: distracted easily,fdfff369-5b57-4612-9f89-f5d408f24a35,d6c1c900893c0ce08e18d35e59c282998dafd707fb74a141d172cf4c38a422b3
,94,omo-pastor,omo pastor,A devout christian.,Female,hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings & green necklace; expression: happy; strength: happiness; weakness: too emotional,49e09559-61a6-41ff-811a-272721a7475c,7c1d1f07301e97f8532855cec441b38ab3307d2ccf5eddf2ff291e4c1c17ef96
,95,obi-container,obi container,A rich south-easterner.,Female,hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker,4b64cf48-94fa-4aed-8cf2-452974b48ee3,4ec6cc9670922a6dd34f0446c3d12e9cbe6c338b18dfc20d7d8c603733910183
,96,erigga-international,erigga international,Superstar from South-South.,Female,hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace & red scrunchie; expression: curious; strength: talented; weakness: overconfident,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,f05208aa15e5bb74f61273cf074a6a295399245ac3e6d2dd37ae9ef2a1fad833
,97,ayo-web3-bro,ayo web3 bro,Someone with no actual knowledge of basic computer principles.,Female,hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,22f8338c60c8fbfc7b181b87232a1c847e12d1b7cb45bf0252d99bcb06ae35c1
,98,phoebe-queen-bee,phoebe queen bee,A self-centred woman.,Female,hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,211fffd4681b0ec9be539c29ce52781c915cff1e17b314c2a6478a6e730a5fdf
,99,rachel-warri-babe,rachel warri babe,A highly disciplined woman.,Female,hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,a00b7b617142bf25e8267883063a34bce1d6e5910bd3a37afd4dec06606106c9
,100,adun-preacher,adun preacher,A religious woman.,Female,hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet & hookah;  expression: blank; strength: bold; weakness: fake,cc4dfedf-c343-48db-ad67-e39452ec2380,9a8c2000551f2ed7ee70faa022dd2ff52ff0ea1b51ace2038f3f24d681096bbb
TEAM CHISEL,101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth.,Female,hair: brown; eyes: opened; teeth: white; clothing: ankara print; accessories:none; expression: staring; strength: bold; outspoken; weakness: pride,fbf43611-f267-4cba-bf4b-a3ffdc122589,c191a85fcc426325934e7cedc4eb730f64bf6bf9521064869b04e3b71c2c3eb2
,102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party.,Female,hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl,e7c32b06-7022-49b4-bbe5-81e8c1d58583,f7c82d395452de44b2431fb7c81cd35021ed6025638470cae24567b5360d4ee7
,103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family.,Male,hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking,e57d8985-599e-49da-8d62-fc16b7ac93f2,bbec17cc00f0af719e6f0082912fdb09111e7de1257ea0d5b8bdbe4c81369ee6
,104,farida-the-tivlady,farida the tivlady,Farida is a beautiful Tiv woman.,Female,hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking,31d3e229-003e-43c8-ba82-38f49cf58ccb,ec3cf1841dad2f867ab1b50a21c9fb360404501cb53c7cb76eb83a316a30abcc
,105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir.,Female,hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading,281f5bd7-5282-458b-9811-e369980e7dee,0eec221b781179427854480916459a33f0ffc9d69578b4fda5af3c90674212af
,106,nonso-the-igbogirl,nonso the igbogirl,Nonso is a hardworking Igbo girl.,Female,hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending,5cfa76df-8376-4505-af12-78af24f108d6,4b714d7b700ef1e30afa68c196653f08434f987212e71d2a0a9c78c0538d8182
,107,shade-olori,shade olori,Shade loves soft life and makeup.,Female,hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping,1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,2e0a8d2efe791ae6b9cd9a6fb9df2d3e7ca44c7cb25b6022e1e713d33dd0c206
,108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics.,Male,hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking,d96a93e7-17a4-4efe-b09b-02185cc81ce8,c58faf35d393fc2df324dd8e09da5ed165018f2eb2d611a6f2228531403e3c4a
,109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events.,Male,hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none,030f665d-2cd7-4376-aef5-4030dad9f2d6,4d289791e71fff8b8ae57bd99f9de42f94f104c1f183fd5388c810004ba353ce
,110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a yoruba demon with excellent communication skills.,Male,hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals,e270e278-a9b5-408d-b527-d518239a997b,4dc604fa6884958188d497a6b2b223c6936e2f0797bc866aeffeb638be02162d
,111,nkechi-the-actress,nkechi the actress,Nkechi is an international actress that acts in hollywood.,Female,hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie,34b1136d-00b1-4f29-8a03-5b02291d47d5,80ad497ff9d8564580339c93ebbce99344d5c06f7a78f74d1c272f7dd56386e9
,112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam doing burea de change for a living.,Male,hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic,592eff9f-93b2-4452-a2ed-5d44ebc969db,28dcdd70325c0093393194526fbac9578c9bdf7ba222d5b512f92aaff191bd7c
,113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty.,Female,hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive,d9477612-ad63-408e-8d12-24679c647b32,45a08cb3748bcef3c11bed3dd65e83788b12cdae3d369b1e37fa41436c33c440
,114,tunde-the-boss,tunde the boss,Tunde is a boss that loves to take charge at work.,Male,hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy,7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,64a6bed5a01540d85c5c85739b2465f0a09b55c6de51b72a5ba5799371f0511b
,115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a barber that devotes time to perfect his craft.,Male,hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing,152758f3-9414-45a2-a809-95cb05a3de13,7b6568f838aa63ea74539c00787328acbddc0b3c1431314a2b00e51ba4b91c06
,116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is can never be intimidated no matter the circumstance. ,Female,hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive,c7726e84-3c5c-4e66-8677-cbfb5c9ee850,a04c2fd03f7ed3cc2f8010ce288a3a10d350c148bc055908d68f91d7a542a13a
,117,kemi-foodie,kemi foodie,Kemi loves food and can also prepare good meals. ,Female,hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness,3116cb6f-14c4-4d5a-af57-54253b72a309,453e39e450f9aa8e4abb634dd9d82df592d771a55662c54856eaf6c73817725d
,118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths.,Female,hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious,a14df1c1-7a5a-4a33-8780-0fb01c593da6,4cae53312026737b640f7995eacbfa4dd03301f71cb57cbce688aa3037b20b70
,119,kayode-the-baller,kayode the baller,Kayode loves life and lives it.,Male,hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women,fe17bfdc-c251-4654-8313-1ab793e11748,e3973a8c634e8987e77ce715b277d57fe183a126543ad4af8223e16eba98de8d
,120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is.,Male,hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy,df295be1-1509-406e-a263-28a5dee0abca,879a9f6d227f17a6cb1636b7777c4b66660136a4525e0f311f8bb2ae494117f9
TEAM BRAINBOX,121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader.,Male,hair: none; eyes: blue; teeth: none; clothing: purple and yellow; accessories: cap; expression: happy; strength:strong; weakness: shy,7ebde325-8efc-4997-811a-b5686269929e,582f8df2459f7c6a47a6176dda55098c146c6f30456d2ab75cec01c4d415443f
,122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is such a sweet guy loves by all. ,Male,hair:none ;eyes: black; teeth:small open teeth; clothing: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild; weakness:anger,c136a120-a339-4080-96ca-1c93845c5848,287c7165952d5b31a6ac23809b779d616f41e8417e14fea0cd056bce4db8468b
,123,yakubu-village-chief,yakubu village chief,Yakubu is the best village chieftain.,Male,hair:none ;eyes: blue; teeth:open white teeth; clothing: black isiagu; accessories:cap; expression:happy; strength:strong; weakness:impatience,5b0c0d26-d204-4264-b579-081ff9df935b,f445fcf41bc03f54097cdb1706ceb10a55e9471059ce670fbcd336f18a836728
,124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking cigarettes.,Male,hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothing: mixed colors ankara wear; accessories:none; expression:happy;  strength:strong;  weakness: anger,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,a13c928711480687c54deb3e57cb8d1b6566c9e50939b8a07e5ea7078583c248
,125,johnathan-good-leader,johnathan the humanitarian ,Johnathan is very progressive young man.,Male,hair:punk bearded man ;eyes: closed; teeth:none; clothing: white shirt and senator; accessories:cap; expression:bone face; strength:strong; weakness:pride,241e3713-4ce3-48d0-827f-b282ae2db6c4,32767a0a284bc4815dc0b1ed831253491a85b8b67c542294f5110dcb1dd13aeb
,126,johnathan-genz-kid,johnathan genz kid,Johnathan is zealous young man.,Male,hair:none ;eyes: blue;teeth: white; clothing: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong; weakness:arrogance,90c0ae09-a35f-42ad-b93c-dcf30169acd9,4ac8fa800f6ae07ce57c853b2b2cd4270713fc9c0a3ff259c25efb2503c5d0e9
,127,eddy-the-community,eddy the community leader,Eddy has so much positive energy.,Male,hair:none ;eyes: blue; teeth:none; clothing: black isiagu wear; accessories: cap; expression: happy; strength: strong; weakness:emotional,5cabf9d9-882b-459e-9253-8c07eb045e2d,329e5bebf8a28f3a8a8ee998efa7cc9cadceeb4c87c3734191ef2cfb684a1054
,128,olu-the-oba,olu the oba,Olu the great ruler in our land.,Male,hair: purple braided hair ;eyes: black; teeth: none; clothing: mixed color traditional wear; accessories: none; expression: serious face; strength:mild; weakness:anger,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,bd8b4d29e116be89d4ca26f5a065f72c9e5605074830bbe0bf588b0ca3455fd7
,129,edu-the-biggest-trader,edu the biggest trader,Edu is the biggest merchant in west coast.,Male,hair:none ;eyes: blue; teeth:closed; clothing: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong; weakness:impatience,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,e4db554f431163ab9c2b24857cfebb27a5af690e25fe5e9dbfa7f77a3ea0b997
,130,james-importer-and-exporter,james importer and exporter,James is the sole importer and exporter of spare parts.,Male,hair:none ;eyes: blue; teeth:none; clothing: purple and yellow; accessories:cap; expression:happy; strength:strong; weakness:pride,22541251-022f-480c-8c1e-cf754dce16d6,98dbfa7e4dbe29ef25b7daa5f44009707374f0a6c034869fef62e3e919a16f63
,131,lanre-the-dreaded-guy,lanre the dreaded guy,Lanre has a great reputation.,Male,hair: none ;eyes: none; teeth:white; clothing: ankara; accessories:cap; expression: happy; strength:strong; weakness:anger,66a054cd-5541-4000-98aa-8f2e9892d880,8eb731f095f5c12b83db61e955b2cb4d3a74b06508b6a0b8c8b9dcc585c3dcbd
,132,olamide-the-street-boy,olamide the street boy,Olamide has a sweet voice.,Male,hair:none ;eyes: white; teeth: none; clothing: green and blue; accessories: cap; expression: serious face; strength:strong; weakness:stubborn,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,cc618a655c7f21065d27041404ce0380dde5866334c5d4a1cb8ddb9b58c989cf
,133,uche-peace-loving-man,uche peace loving man,Uche man of peace and discipline.,Male,hair: yellow ;eyes: blue;teeth:none; clothing: yellow; accessories:none; expression:happy; strength:strong; weakness:emotional,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,287ffd63731df61487052e25d039b552e404963f3ffbfa6bb1417a1e5df0b737
,134,dave-the-tech-bro,dave the tech bro,Dave is a web3 enthusiast.,Male,hair: none ;eyes: none; teeth:white; clothing: none; accessories:cap; expression: serious face; strength:strong; weakness:none,c0857b11-bf0e-46a4-9108-b8eb93d83e74,8b5cf3fb4e6dd3ed858122dcd587d07dbd4d6375e3dc45d73e00e5532abe05e2
,135,obi-the-biggest-humanitarian,obi the biggest humanitarian,Obi loves service to humanity.,Male,hair:none ;eyes: blue; teeth:white; clothing: brown; accessories:cap; expression:happy; strength: strong; weakness:none,201a408c-7a2e-42d9-a62c-0136c885c211,685fec9356f3ebc6c730b08064e18713ebbaffc273734994bc8b2b0f2d1b952e
,136,precious-the-emotional-girl,precious the emotional girl,Precious is soft hearted and sensitive.,Female,hair:none ;eyes: white; teeth: white; clothing: yellow and blue; accessories:cap; expression:angry; strength:strong; weakness:none,b6a41ff1-51ce-42f7-9933-85d0a22ced68,1c69adc4d11f8c9124bd3fa1309b8529a803bb1120516bfb6e8e69e9f472318c
,137,ella-serious-minded,ella serious minded,Ella a dedicated young lady.,Female,hair: none ;eyes: white;teeth: white; clothing: black and yellow; accessories:cap; expression:happy; strength:strong; weakness:none,04036447-f43e-4bfb-9503-f55c9064b14e,ac7b69aacf7f1a79bbc58c4ced9ffe40eb625cf2425d3ed95972f59ebcab823b
,138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with priceless cute eyes.,Female,hair:yellow ;eyes: blue;teeth:none; clothing: blue and yellow; accessories: none; expression: serious face; strength: mild; weakness:pride,5d12847b-6d71-4691-8337-2e6ef3e283b2,97999af5edac20e18b12673780d77dc1087f632a6dd08e42c76f658a5af55406
,139,mary-with-hair,mary with hair,Mary with her beautiful Afro.,Female,hair: none;eyes: none;teeth:none; clothing: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful,98035e8b-6540-4464-8a3c-fdac9f07b168,50366d8cca2f63111505452956094ef55b877e1f4a11e9f76336f9a278c5ed7d
,140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum.,Female,hair: none;eyes: none;teeth: white; clothing: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive,15309dc5-e483-4658-b503-db85ba2c1722,1782591a6f3dc8c6b86300aa71370f54bc39a37668a698c2ba279d41d8662d2b
TEAM PLUG,141,viganem-the-drummer-girl,viganem the drummer girl,Known for typically playing the drum for 5 hours per day without a break.,Female,hair: none;  eyes: none;  teeth: none;  clothing: ankara with drum patterns;  accessories: none;  expression: sumg;  strength: none;  weakness: none,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,3d88648999d699d379244394974e19521d6307e5046b9a2461dddbd79ce6e006
,142,lenusuka-the-big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi.,Female,hair: purple;  eyes: none;  teeth: none;  clothing: black and blue ankara;  accessories: none;  expression: serious;  strength: none;  weakness: none,e564a43a-ef77-487d-a88e-749d20a09fd8,6afb0dee8af55f5683adcc96ecd64eacf4ca3b23584ea4a9ae388ed23bfe5be7
,143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants.,Female,hair: purple;  eyes: none;  teeth: none;  clothing: black ankara with yellow and blue gear pattern;  accessories: none;  expression: chill; strength: none;  weakness: none,6dc7e452-0626-4f4c-a28c-f5db3532e305,15de04a0323b477e0095eac059aebbfbff629b3d16b70dc21ad372e9bb1d9639
,144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water.,Female,hair: brown afro;  eyes: none;  teeth: none;  clothing: black ankara with yellow peach and blue gear pattern;  accessories: none;  expression: unbothered;  strength: none;  weakness: none,221263d0-8775-49f8-bbf8-4b08b49e1482,c887c89b46a3485043fc060cd5111a395fcb6bfb0dbaf92679d56c60036fd8b8
,145,akinyim-the-clown,akinyim the clown,"The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.",Female,hair: burgundy dreadlocks;  eyes: none;  teeth: none;  clothing: kente blouse with asymmetric neckline;  accessories: none;  expression: off-standish;  strength: none;  weakness: none,c1070dce-48a1-4ae8-b9a4-d070859a8377,7dff8ac55ca50db8eafd3a28ec4d017b098c4ea1e1b507ac02c0a34e488b0a75
,146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs.,Male,hair: brown; eyes: none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none,c22489fe-574b-47f3-9667-c9c798b2d4df,fb58c35536be5ce26f275ae1c667ae0ac7e2e57d47ac67f20ca2ddd9cee20f82
,147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself.,Male,hair: burgundy fila cap;  eyes: none;  teeth: none;  clothing: black and kente patterned agbada;  accessories: none;  expression: sleepy;  strength: none;  weakness:none,1a91e778-d214-476b-a667-94e9ecb8b5ce,2ab12bc3f43e5657e85c35f08c473d206bc943a75b5ef4b6bfa4a94ba31fad53
,148,naserian-the-fear-fear-dancer,naserian the fear fear dancer,A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.,Male,hair: face; cap: turned to the side;  eyes: none;  teeth: none;  clothing: yellow and blue ankara;  accessories: none;  expression: warm;  strength: none;  weakness: none,8177cf38-8284-4eb4-b19c-04473bcb3b5e,c7e55514a973a3c81372725816e73e6ef813d626258481e130d771a42254f936
,149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere.,Male,hair: blue cap;  eyes: none;  teeth: none;  clothing: green top with blue overalls;  accessories: none;  expression: fear;  strength: none; weakness: none,0554bf35-f588-4009-aafc-ef875b878c29,87ccdaa8ec22434cf4c1dfe12be072e9042ee627c50df6415ea457473f7673d7
,150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt.,Male,hair: brown;  eyes: none;  teeth: none;  clothing: brown shirt with dog pattern;  accessories: none;  expression: smirking   strength: none;  weakness: none,33ba8e73-7949-4bc7-ba27-37ee1d573946,2d4cc0583821206c3baf3f795598d919cafbfb886c67673899693677cd4467bc
,151,rehema-the-olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school.,Male,hair: teal cap with black and white stripes;  eyes: none;  teeth: none;  clothing: purple shirt with yellow accent;  accessories: none;  expression: euphoric;  strength: none;  weakness: none,1fb33783-4898-48cf-8a73-f81afc71e1a8,611193e25b95a5106d9dfacfd2c612b9f3ea11532fc4ec55de6afc2ab37db3d3
,152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech.,Male,hair: black and red hat;  eyes: none;  teeth: none;  clothing: monostrap black ankara with yellow and red patterns;  accessories: none; expression: playful;  strength: none;  weakness: none,7ba909bd-19a1-454d-a86c-a45e85cb94a6,7369eb3b98f6ec2490f0d4163a84b1bf993805e2b0737f6036bd4daf9bb18850
,153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5.,Male,hair: black and yellow cap;  eyes: none;  teeth: none;  clothing: maroon agbada with yellow accents;  accessories: none;  expression: clueless;  strength: none;  weakness: none,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,c0970405034fccb152e439c84f753572fae7cf88096d2188af1e7c4d3e641e61
,154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly.,Male,hair: red cap;  eyes: none;  teeth: none;  clothing: plain and patterned ankara shirt;  accessories: none;  expression: anxious;  strength: none; weakness: none,36cd959f-d280-41f6-af76-765715c72527,1a6eb9f3c3e6799cf4a9453a777a08760692e4503e364e75ceed18a4c61d33fc
,155,ajobaru-a-creative-artist,ajobaru a creative artist,A lovely artist who is known for creating magical art pieces that can spark a smile.,Male,hair: black and yellow fila cap;  eyes: none;  teeth: none;  clothing: yelow kente shirt;  accessories: none;  expression: cheerful;  strength: none;  weakness: none,9d262f55-73d7-4b95-9a82-42356dbb085c,c6c9a05ee096bf824253501d499026fc7bb0fa87ccac408f02db700db48573d3
,156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight.,Male,hair: brown;  eyes: none;  teeth: none;  clothing: black and kente agbada; accessories: none;  expression: high; strength: none;  weakness: none,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,ff7accf384de043adfd2a540bdf3e5ac8d4296e7e0d7ab4e8f9fb07b0843da5b
,157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid.,Male,hair: burgundy cap;  eyes: none;  teeth: none;  clothing: black and kente agbada;  accessories: none;  expression: none;  strength: none;  weakness: none,88106b92-da30-46ad-a3cc-d528683b9e33,1be57a83f471b09448f844d548a2fd6c7cb12bb5b951df0c6b117e5c878f6fff
,158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river.,Male,hair: orange and cream cap;  eyes: none;  teeth: none;  clothing: orange and blue denim;  accessories: none;  expression: unbothered;  strength: none;  weakness: none,66a09968-cb92-4378-a588-49947f68c537,845c77213fb93685ba57f37d92b8d596b91131774c80da9c72f04f841de1bdc3
,159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa.,Male,hair: blue cap; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,88c9014e98f12bd4e2a530e207cd3571b5785f24a5ef07966b6502fcfda68bfb
,160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings.,Male,hair: red hair; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none,b07676a6-c611-410d-8426-46c9c525189a,6d869d302969f4fd97a0aa9ab221a2fa8ac784cd2a02421195e3f84f7711a40a
TEAM HEADLIGHT,161,funmi-the-fashionist,funmi the fashionist,Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.,Female,hair: black hair; eyes: none; teeth: none; clothing: aso oke; expression: cool; accessories: head tye and eye glasses; strength: fashion; weakness: men,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,026ddf9f1a04744a134926c84f753353dbe57bfd4c42a2af49e36e97401388ad
,162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows.,Female,hair: purple shuku; eyes: none; teeth: none; clothing: adire top; expression: neutral; accessories: eye glasses; strength: caring; weakness: snake,ac721b71-cbc5-425c-851f-ee826973f0b9,12a6abb8492491c15c0d10f2b2af8c7fb5aeeb017b37616c4175f6aaf6481181
